model,basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,spy_is_sharpe,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,spy_oos_sharpe,pre_shock_ann_return,pre_shock_sharpe,post_shock_ann_return,post_shock_sharpe,post_shock_sector_exposure,full_oos_sector_exposure
three_factor,15,1,13.98,0.483,0.445,0.286,0.403,10.18,0.249,0.363,1.509,1.048,-46.9,-8.433,30.39,1.123,XLK:38.3%; XLI:25.0%; XLV:11.7%; XLP:6.7%; XLF:6.7%,XLK:34.5%; XLI:23.6%; XLV:12.7%; XLF:7.3%; XLY:6.7%
three_factor,15,2,14.45,0.519,0.471,0.339,0.417,12.37,0.317,0.371,2.419,1.07,-39.72,,36.84,1.401,XLK:41.7%; XLI:21.7%; XLV:13.3%; XLY:6.7%; XLF:6.7%,XLK:30.7%; XLI:28.0%; XLV:9.3%; XLY:6.7%; XLB:6.7%
three_factor,15,3,13.04,0.471,0.415,0.31,0.434,30.81,0.818,1.379,,0.78,,,68.57,2.594,XLK:43.3%; XLI:23.3%; XLY:13.3%; XLB:6.7%; XLP:6.7%,XLK:33.3%; XLI:24.4%; XLY:11.1%; XLB:11.1%; XLV:6.7%
three_factor,15,6,12.55,0.463,0.391,0.319,0.436,,,,,,,,49.11,,XLK:53.3%; XLY:20.0%; XLI:13.3%; XLB:6.7%; XLP:6.7%,XLI:26.7%; XLV:20.0%; XLB:20.0%; XLK:13.3%; XLY:6.7%
three_factor,20,1,13.66,0.485,0.449,0.276,0.403,12.07,0.377,0.47,1.724,1.048,-46.97,-7.342,33.4,1.502,XLK:37.5%; XLI:20.6%; XLV:11.9%; XLY:8.8%; XLF:6.2%,XLK:34.5%; XLI:19.5%; XLV:12.7%; XLY:8.6%; XLF:8.6%
three_factor,20,2,13.67,0.496,0.469,0.306,0.417,9.65,0.189,0.204,1.869,1.07,-46.94,,31.54,1.481,XLK:37.5%; XLI:17.5%; XLV:13.8%; XLY:11.2%; XLF:6.2%,XLK:34.0%; XLI:24.0%; XLV:9.0%; XLF:9.0%; XLY:6.0%
three_factor,20,3,12.65,0.468,0.398,0.277,0.434,17.14,0.439,0.539,,0.78,,,49.84,2.333,XLK:40.0%; XLI:20.0%; XLY:12.5%; XLB:7.5%; XLRE:5.0%,XLK:31.7%; XLI:21.7%; XLY:10.0%; XLB:10.0%; XLF:10.0%
three_factor,20,6,12.28,0.45,0.395,0.299,0.436,,,,,,,,34.55,,XLK:45.0%; XLY:20.0%; XLB:10.0%; XLI:10.0%; XLRE:5.0%,XLI:25.0%; XLF:20.0%; XLV:15.0%; XLK:15.0%; XLB:15.0%
three_factor,25,1,13.17,0.463,0.411,0.257,0.403,11.3,0.415,0.571,2.244,1.048,-34.0,-5.725,26.16,1.331,XLK:35.0%; XLI:20.0%; XLV:12.0%; XLY:10.0%; XLF:8.0%,XLK:32.4%; XLI:18.9%; XLV:12.4%; XLF:10.5%; XLY:9.8%
three_factor,25,2,13.35,0.482,0.441,0.295,0.417,12.95,0.403,0.484,4.279,1.07,-35.9,,25.56,1.42,XLK:35.0%; XLI:18.0%; XLV:13.0%; XLY:12.0%; XLF:7.0%,XLK:32.0%; XLI:22.4%; XLF:12.0%; XLV:9.6%; XLY:7.2%
