date,rolling_corr,rolling_beta,beta_ci_lo,beta_ci_hi
2016-02-29,-0.05555964629657831,-0.008557062356296583,-0.04638226392765131,0.029268139215058147
2016-03-31,-0.028253951771715857,-0.0043268707718836265,-0.041297214226154524,0.03264347268238728
2016-04-30,-0.015178266825509268,-0.002145243542365803,-0.035356310428955595,0.03106582334422399
2016-05-31,-0.03119412156370055,-0.004182097686763479,-0.034557517385262526,0.026193322011735565
2016-06-30,-0.018775436042513416,-0.0025496137899553087,-0.032784711635571576,0.02768548405566096
2016-07-31,-0.007902882394567878,-0.0010404461616224624,-0.02962043587140554,0.027539543548160614
2016-08-31,-0.0017450863452536658,-0.000222701328573216,-0.02749703756702827,0.027051634909881838
2016-09-30,-0.0756247134120227,-0.00940462491766449,-0.040009558383731506,0.021200308548402526
2016-10-31,0.027947289050390123,0.0034088203404391074,-0.035457315088714005,0.04227495576959222
2016-11-30,0.03810624934008783,0.004443768148731479,-0.03039819888364082,0.03928573518110378
2016-12-31,0.050060843098002544,0.005620209999415156,-0.028166104743751336,0.03940652474258165
2017-01-31,0.05437603739897476,0.006002585542698533,-0.026435046983625515,0.03844021806902258
2017-02-28,0.02489274287997356,0.0026762484605856417,-0.028390876530349544,0.03374337345152083
2017-03-31,0.021763892171921595,0.002303004147124258,-0.02772719922061258,0.0323332075148611
2017-04-30,0.008643093404723773,0.0009088271476168988,-0.029343969279532957,0.031161623574766754
2017-05-31,0.014515604925516151,0.0015364159606756668,-0.02869249954112097,0.031765331462472304
2017-06-30,0.0013479732507727382,0.0001371278292284575,-0.029727015640360184,0.0300012712988171
2017-07-31,-0.0015267980219256239,-0.0001547406798774048,-0.029898145276427642,0.029588663916672833
2017-08-31,0.03242578206404256,0.003305913721151483,-0.0263001520964158,0.032911979538718765
2017-09-30,0.032936276618430876,0.003338680313448826,-0.026084379692586847,0.0327617403194845
2017-10-31,0.02748424793798751,0.002781406060017061,-0.026760243246339025,0.032323055366373143
2017-11-30,0.022414031162942494,0.002263426473991574,-0.027470513612988474,0.03199736656097162
2017-12-31,0.030758743502992847,0.0031018232271831023,-0.026192269854812728,0.03239591630917893
2018-01-31,0.046754155596273855,0.004788098292217997,-0.025156447296586407,0.0347326438810224
2018-02-28,0.04309972414554036,0.004558931889265996,-0.027468275779722523,0.036586139558254516
2018-03-31,0.024806170672353967,0.002586079922438759,-0.029068485762636088,0.03424064560751361
2018-04-30,0.04411396033939097,0.00462523603192341,-0.026603675249160335,0.03585414731300715
2018-05-31,0.0901631282557101,0.009637582555939363,-0.022100189443982093,0.04137535455586082
2018-06-30,0.04760170503509839,0.005078285679448364,-0.02645077410069863,0.03660734545959536
2018-07-31,0.10522587693668406,0.011588114346839505,-0.020695363400392,0.04387159209407101
2018-08-31,0.05987757374058815,0.006576809405777404,-0.02553726582861685,0.03869088464017166
2018-09-30,0.0637902021556791,0.007779234462825236,-0.026278378137771948,0.04183684706342242
2018-10-31,0.05810492240835036,0.007422546744168418,-0.030244441115572916,0.04508953460390975
2018-11-30,0.031149499778777998,0.004827538547256344,-0.04284447796123837,0.05249955505575106
2018-12-31,0.04038696236636567,0.007020436280499358,-0.04315091209717217,0.05719178465817089
2019-01-31,0.12117461172019116,0.02129316716662163,-0.026756357353455888,0.06934269168669915
2019-02-28,0.09875788635932294,0.01692393748862643,-0.02919742920443781,0.06304530418169067
2019-03-31,0.10512125866900264,0.019041095578148245,-0.03264302493538665,0.07072521609168314
2019-04-30,0.07124494816221169,0.014489440898875156,-0.04978769692576732,0.07876657872351764
2019-05-31,0.0848682566696118,0.017591493015918697,-0.048163896348433974,0.08334688238027137
2019-06-30,0.0637121107663094,0.01305258589532606,-0.05164932802678828,0.0777544998174404
2019-07-31,0.026908074475383393,0.005626167938333176,-0.06058707812814247,0.07183941400480882
2019-08-31,-0.02548581668134305,-0.005387213112133064,-0.06819525084102936,0.057420824616763226
2019-09-30,0.016555673642040407,0.0036454590542058275,-0.06365370509412381,0.07094462320253546
2019-10-31,0.04961097508669282,0.011361067274235689,-0.06201858161697721,0.08474071616544859
2019-11-30,0.03996111897056563,0.009175245233618404,-0.06418066223730194,0.08253115270453874
2019-12-31,-0.032157721666164096,-0.007100936307235933,-0.07372302899217105,0.05952115637769918
2020-01-31,-0.05251002838723855,-0.012045014008907718,-0.08034367034870155,0.05625364233088612
2020-02-29,0.028039197171994018,0.00820734030388653,-0.05963737221840009,0.07605205282617315
2020-03-31,0.06546142084063503,0.02138595206079675,-0.048884151688159606,0.09165605580975311
2020-04-30,0.150876292005473,0.04042995731916489,-0.019055229199767168,0.09991514383809695
2020-05-31,0.15938174290609017,0.00621689264785889,-0.06152741401077437,0.07396119930649216
2020-06-30,0.17340775398806546,0.005170801657678699,0.001788967315600909,0.008552635999756489
2020-07-31,0.19516954993051033,0.005260495331439502,0.0024704067887362812,0.008050583874142724
2020-08-31,0.1563523333084057,0.003963322988381909,-0.00013919304121219438,0.008065839017976013
2020-09-30,0.14819733633947446,0.0036136866163885314,-0.00043967816795095456,0.007667051400728018
2020-10-31,0.22153194430498102,0.005698845767561278,0.00011658919121180535,0.01128110234391075
2020-11-30,0.24130642186243523,0.0062423949481855085,0.0004629890587457301,0.012021800837625288
2020-12-31,0.259766602146574,0.006799800601309105,0.0007092008522611576,0.012890400350357052
2021-01-31,0.27311054648158173,0.007178046812129409,0.0009021729784182315,0.013453920645840587
2021-02-28,0.27007785648690336,0.007067660069144885,0.0009253622901237903,0.01320995784816598
2021-03-31,0.2666415537532761,0.006957400433001065,0.0009115713075877694,0.013003229558414361
2021-04-30,0.26114250278527196,0.0068106874192444405,0.0007815567637729911,0.012839818074715889
2021-05-31,0.225982525963703,0.005277290249948236,-0.00020943661672448693,0.01076401711662096
2021-06-30,0.25095904511303524,0.005516822234191191,0.0007034762104988724,0.01033016825788351
2021-07-31,0.23768869367320933,0.005063238877368128,0.0006394380592113858,0.00948703969552487
2021-08-31,0.2573370564785951,0.005339938574839473,0.001048743519247673,0.009631133630431273
2021-09-30,0.25112453815048935,0.005150559068339725,0.0010068306156658779,0.009294287521013573
2021-10-31,0.2679267519020898,0.005492771509194351,0.001284466269900122,0.00970107674848858
2021-11-30,0.27123502888680406,0.005536758256637256,0.0013615819038591773,0.009711934609415334
2021-12-31,0.2889113398044758,0.005976947770150182,0.0016369821692808796,0.010316913371019485
2022-01-31,0.28913712468863206,0.005914461489415033,0.0016658461816933404,0.010163076797136725
2022-02-28,0.2864449262332527,0.005831361960344462,0.0016470951135702716,0.010015628807118652
2022-03-31,0.29995331169407524,0.006241129381549328,0.001888137281702412,0.010594121481396244
2022-04-30,0.3070973152452382,0.0063516655272105055,0.00200127934081758,0.01070205171360343
2022-05-31,0.3168429896523418,0.006592014959841167,0.002178765799195811,0.011005264120486523
2022-06-30,0.30059763277102014,0.006288695927615293,0.0019652352791078185,0.010612156576122769
2022-07-31,0.3021915952135833,0.006289877051869628,0.001999229309186147,0.010580524794553108
2022-08-31,0.30969101090266493,0.006570474788253136,0.002172989876806788,0.010967959699699485
2022-09-30,0.3033697059890842,0.006329995020407122,0.0020254812279304384,0.010634508812883806
2022-10-31,0.30331815210570673,0.0063229630944195685,0.002027747634338239,0.010618178554500899
2022-11-30,0.311881988215777,0.006333948440743796,0.00204101701477766,0.010626879866709932
2022-12-31,0.3089287378055846,0.00630638693455695,0.0020195807445385194,0.01059319312457538
2023-01-31,0.3102831973772102,0.0063388684822442785,0.00204047661602958,0.010637260348458976
2023-02-28,0.30999900998816526,0.006386448371830123,0.0020712419912463174,0.01070165475241393
2023-03-31,0.3104857882229225,0.006402524619984899,0.002077938774574753,0.010727110465395045
2023-04-30,0.3140773883520287,0.006387080444191834,0.002074399360906945,0.010699761527476724
2023-05-31,0.31378111493374683,0.006385665540473543,0.0020736205049913395,0.010697710575955748
2023-06-30,0.3130471452780703,0.006386317306300116,0.002076648244512624,0.010695986368087608
2023-07-31,0.3099234347806159,0.006348095859895906,0.0020487114295778047,0.010647480290214006
2023-08-31,0.30634533198223435,0.006342117784924972,0.002037662359678352,0.010646573210171591
2023-09-30,0.30143731809243685,0.006321114579563462,0.002010434926499145,0.01063179423262778
2023-10-31,0.30061565589142014,0.006357405242651936,0.002044123012108855,0.010670687473195016
2023-11-30,0.2989134648193205,0.006422317305948628,0.002097897249201678,0.010746737362695578
2023-12-31,0.2976325621689179,0.006409183337547163,0.002086137186599911,0.010732229488494414
2024-01-31,0.2992481694334919,0.006396352094149875,0.0020854884341050053,0.010707215754194744
2024-02-29,0.3242511668466306,0.006261181159704892,0.001983175256223737,0.010539187063186047
2024-03-31,0.34460708266231166,0.006306825249000671,0.002032820985339162,0.01058082951266218
